Name,Age,Date of Birth,Nationality,Team,Position,Debut,Height in cm,Weight in kg,Matches,Wins,Draws,Losses,Minutes,Started,Points,Tries,Drops,Penalties,Conversions,Yellow Cards,Red Cards
Darren O'SHEA,28,1992,IRELAND,VANNES,LOCK,2015,206,121,59,34,3,22,2756,35,10,2,NOT FOUND,NOT FOUND,NOT FOUND,1,NOT FOUND
Donnacha RYAN,37,1983,IRELAND,RACING 92,LOCK,2012,201,114,106,67,4,35,6147,82,15,3,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Darren SWEETNAM,28,1993,IRELAND,MUNSTER,FULL BACK,2015,185,93,69,48,3,18,4412,55,80,16,NOT FOUND,NOT FOUND,NOT FOUND,1,NOT FOUND
Simon ZEBO,31,1990,IRELAND,RACING 92,FULL BACK,2012,187,94,130,80,5,45,8210,107,130,42,NOT FOUND,NOT FOUND,NOT FOUND,2,NOT FOUND
Rodney AH YOU,32,1988,NEW ZEALAND,NEWCASTLE,PROP,2014,185,128,40,19,0,21,1565,20,5,1,NOT FOUND,NOT FOUND,NOT FOUND,2,NOT FOUND
Simon BERGHAN,30,1990,NEW ZEALAND,EDINBURGH,PROP,2014,193,126,102,60,2,40,3664,39,10,2,NOT FOUND,NOT FOUND,NOT FOUND,2,1
Rory GRICE,31,1990,NEW ZEALAND,OYONNAX,BACK ROW,2011,192,118,126,59,3,64,8508,114,95,19,NOT FOUND,NOT FOUND,NOT FOUND,6,1
Terrence HEPETEMA,29,1992,UNITED KINGDOM,LONDON IRISH,CENTER,2012,183,100,31,12,2,17,1913,25,15,3,NOT FOUND,NOT FOUND,NOT FOUND,2,1
Paul LASIKE,30,1990,NEW ZEALAND,HARLEQUINS,CENTER,2018,180,114,43,20,1,22,2127,25,35,7,NOT FOUND,NOT FOUND,NOT FOUND,1,NOT FOUND
Mat LUAMANU,32,1988,NEW ZEALAND,BAYONNE,LOCK,2014,193,130,87,39,0,48,4429,55,60,12,NOT FOUND,NOT FOUND,NOT FOUND,2,2
Charlie NGATAI,30,1990,NEW ZEALAND,LYON,CENTER,2010,188,103,76,40,2,34,5238,70,130,22,NOT FOUND,6,1,1,NOT FOUND
Sean REIDY,32,1989,NEW ZEALAND,ULSTER,BACK ROW,2015,182,105,97,64,3,30,5645,72,80,16,NOT FOUND,NOT FOUND,NOT FOUND,1,NOT FOUND
Ben TAMEIFUNA,29,1991,NEW ZEALAND,BORDEAUX,PROP,2011,182,140,144,91,4,49,6560,100,30,6,NOT FOUND,NOT FOUND,NOT FOUND,10,NOT FOUND
Luke WHITELOCK,30,1991,NEW ZEALAND,HIGHLANDERS,LOCK,2011,190,104,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND,NOT FOUND
Jason WOODWARD,31,1990,NEW ZEALAND,GLOUCESTER,FULL BACK,2016,188,101,64,34,2,28,4345,58,92,18,NOT FOUND,NOT FOUND,1,1,NOT FOUND
Jerome KAINO,38,1983,AMERICAN SAMOA,TOULOUSE,BACK ROW,2003,196,113,83,56,5,22,5218,77,20,4,NOT FOUND,NOT FOUND,NOT FOUND,4,NOT FOUND
Greg PETERSON,30,1991,AUSTRALIA,NEWCASTLE,LOCK,2015,204,127,58,26,1,31,2867,37,5,1,NOT FOUND,NOT FOUND,NOT FOUND,2,NOT FOUND
