Name,Age,Date of Birth,Nationality,Birthplace,FIFA ID,Debut,Position,League,Club,Height,Weight in lbs,Preferred foot,Matches,Goals,Assists,Penalties Scored,Penalties Missed,Goals Conceded,Yellow Cards,Red Cards
Leonardo Bonucci,33,1987,ITALY,ITALY,184344,2007,CB,ITALIAN SERIE A,JUVENTUS,"6'3""",187,RIGHT,434,31,7,0,0,0,82,4
Javier Pastore,31,1989,ARGENTINA,ARGENTINA,191180,2007,CAM CM,ITALIAN SERIE A,ROMA,"6'2""",172,RIGHT,280,46,54,0,1,0,24,0
Henrikh Mkhitaryan,31,1989,ARMENIA,ARMENIA,192883,2006,CF RM RW,ITALIAN SERIE A,ROMA,"5'10""",165,RIGHT,314,103,72,3,0,0,39,0
Moussa Dembele,24,1996,FRANCE,FRANCE,211591,2011,ST,FRENCH LIGUE,OLYMPIQUE LYONNAIS,"6'0""",174,RIGHT,187,73,25,10,2,0,16,0
Hatem Ben Arfa,33,1987,FRANCE,FRANCE,161648,2003,CAM ST CF,FRENCH LIGUE,FC GIRONDINS DE BOR,"5'10""",143,LEFT,310,55,38,12,1,0,19,0
Samir Nasri,33,1987,ALGERIA,FRANCE,165239,2004,CAM CM LW,BELGIAN JUPILER PRO LEAGUE,RSC ANDERLECHT,"5'9""",165,RIGHT,379,52,64,2,1,0,38,1
Shinji Kagawa,31,1989,JAPAN,JAPAN,189358,2006,CAM,SPANISH SEGUNDA DIVISION,REAL ZARAGOZA,"5'9""",150,RIGHT,231,55,41,1,0,0,15,0
Wesley Sneijder,36,1984,NETHERLANDS,NETHERLANDS,139869,2000,CAM,FRENCH LIGUE,OGC NICE,"5'7""",159,RIGHT,382,102,87,0,1,0,72,3
Pepe,37,1983,BRAZIL,BRAZIL,226110,2003,RM RW,ENGLISH PREMIER LEAGUE,ARSENAL,"6'0""",161,LEFT,156,45,23,12,1,0,12,1
Marek Hamsik,33,1987,CZECHOSLOVAKIA,SLOVAKIA,171877,2003,CM CDM CAM,CHINESE SUPER LEAGUE,DALIAN YIFANG FC,"6'0""",161,RIGHT,514,114,86,14,9,0,33,1
Javi Martinez,32,1988,SPAIN,SPAIN,177610,2005,CDM CB,GERMAN BUNDESLIGA,FC BAYERN MUNCHEN,"6'4""",190,RIGHT,354,31,13,0,1,0,81,6
Diego Forlan,41,1979,URUGUAY,URUGUAY,49072,1997,ST,INTERNATIONAL,URUGUAY,"5'11""",172,RIGHT,378,159,44,15,5,0,29,0
Paulinho,32,1988,BRAZIL,BRAZIL,187961,2006,CAM RM,GERMAN BUNDESLIGA,GUANGZHOU EVERGRA,"6'0""",176,RIGHT,204,72,24,1,0,0,19,2
Arjen Robben,36,1984,NETHERLANDS,NETHERLANDS,9014,2000,RM CAM,HOLLAND EREDIVISIE,FC GRONINGEN,"5'11""",176,LEFT,422,150,98,11,2,0,32,5
Zlatan Ibrahimović,39,1981,BOSNIA,SWEDEN,41236,1999,ST,ITALIAN SERIE A,MILAN,"6'5""",209,RIGHT,565,378,133,66,12,0,94,9
Robin van Persie,37,1983,NETHERLANDS,NETHERLANDS,7826,2000,ST CAM,HOLLAND EREDIVISIE,FEYENOORD,"6'2""",157,LEFT,435,204,78,21,6,0,61,4
Sergio Ramos García,34,1986,SPAIN,SPAIN,155862,2002,CB,SPAIN PRIMERA DIVISION,REAL MADRID,"6'0""",181,RIGHT,506,74,26,16,1,0,173,22
Thiago Silva,36,1984,BRAZIL,BRAZIL,164240,2002,CB,ENGLISH PREMIER LEAGUE,CHELSEA,"6'0""",174,RIGHT,309,16,5,0,0,0,26,1
David Silva,34,1986,SPAIN,SPAIN,168542,2001,CAM CM,SPAIN PRIMERA DIVISION,REAL SOCIEDAD,"5'8""",148,LEFT,508,91,120,0,1,0,65,2
Mats Hummels,32,1988,GERMANY,GERMANY,178603,2006,CB,GERMAN BUNDESLIGA,BORUSSIA DORTMUND,"6'3""",212,RIGHT,345,26,15,0,0,0,39,2
Marco Reus,31,1989,GERMANY,GERMANY,188350,2007,CAM CF,GERMAN BUNDESLIGA,BORUSSIA DORTMUND,"5'11""",157,RIGHT,319,134,67,13,3,0,37,3
Wayne Mark Rooney,35,1985,UNITED KINGDOM,UNITED KINGDOM,54050,2000,CM CDM CAM,ENGLISH LEAGUE CHAMPIONSHIP,DERBY COUNTY,"5'9""",183,RIGHT,569,237,126,32,11,0,110,5
Karim Benzema,33,1987,ALGERIA,FRANCE,165153,2004,CF ST,SPAIN PRIMERA DIVISION,REAL MADRID,"6'1""",179,RIGHT,476,220,99,13,2,0,9,0
Joe Hart,33,1987,UNITED KINGDOM,UNITED KINGDOM,150724,2003,GK,ENGLISH PREMIER LEAGUE,TOTTENHAM HOTSPUR,"6'5""",201,RIGHT,439,0,0,0,0,516,0,0
Luiz Gustavo Dias,33,1987,BRAZIL,BRAZIL,185221,2007,CDM CB,TURKISH SUPER LIG,FENERBAHCE SK,"6'2""",172,LEFT,435,28,16,0,0,0,123,12
Tim Howard,41,1979,USA,USA,16254,1997,GK,USA MAJOR LEAGUE SOCCER,COLORADO RAPIDS,"6'3""",194,RIGHT,589,0,0,0,0,727,0,0
Steven Gerrard,40,1980,UNITED KINGDOM,UNITED KINGDOM,13743,1998,CM CDM,USA MAJOR LEAGUE SOCCER,LA GALAXY,"6'0""",183,RIGHT,535,125,112,33,9,0,64,6
Thiago Motta,38,1982,BRAZIL,BRAZIL,49370,1999,CDM,FRENCH LIGUE,PARIS SAINT GERMAIN,"6'2""",181,LEFT,376,31,22,0,0,0,100,13
Steve Mandanda,35,1985,FRANCE,DEMOCRATIC REPUBLIC OF THE CONGO,163705,2003,GK,FRENCH LIGUE,OLYMPIQUE DE MARSEI,"6'1""",181,RIGHT,447,0,0,0,0,487,0,0
Fernando Muslera,34,1986,ARGENTINA,ARGENTINA,182494,2004,GK,TURKISH SUPER LIG,GALATASARAY SK,"6'3""",163,RIGHT,382,0,0,0,0,401,0,0
Kevin De Bruyne,29,1991,BELGIUM,BELGIUM,192985,2008,CM CAM,ENGLISH PREMIER LEAGUE,MANCHESTER CITY,"5'11""",154,RIGHT,347,77,133,4,2,0,33,2
Kevin Strootman,30,1990,NETHERLANDS,NETHERLANDS,189712,2008,CDM CM,FRENCH LIGUE,OLYMPIQUE DE MARSEI,"6'1""",176,LEFT,311,30,57,3,0,0,64,1
Lars Bender,31,1989,GERMANY,GERMANY,177457,2005,RB CDM CM,GERMAN BUNDESLIGA,BAYER 04 LEVERKUSEN,"6'1""",172,RIGHT,216,11,23,0,0,0,11,1
Mamadou Sakho,30,1990,FRANCE,FRANCE,183285,2006,CB,ENGLISH PREMIER LEAGUE,CRYSTAL PALACE,"6'2""",183,LEFT,279,9,2,0,0,0,26,5
Miroslav Klose,42,1978,GERMANY,POLAND,11141,1997,ST,ITALIAN SERIE A,LAZIO,"6'0""",185,RIGHT,443,175,73,7,5,0,47,1
Ashley Cole,40,1980,UNITED KINGDOM,UNITED KINGDOM,34079,1998,LB,ENGLISH LEAGUE CHAMPIONSHIP,DERBY COUNTY,"5'9""",146,LEFT,491,18,46,0,0,0,78,9
Rafael van der Vaart,37,1983,NETHERLANDS,NETHERLANDS,45574,1998,CM,DANISH SUPERLIGA,ESBJERG FB,"5'9""",163,LEFT,416,133,81,19,2,0,62,3
Nigel de Jong,36,1984,NETHERLANDS,NETHERLANDS,53578,2002,CDM CM,GERMAN BUNDESLIGA,FSV MAINZ 05,"5'9""",159,RIGHT,392,18,11,0,0,0,86,2
Fernando Luiz Rosa,35,1985,BRAZIL,BRAZIL,135507,2002,CB CDM,ENGLISH PREMIER LEAGUE,MANCHESTER CITY,"5'10""",148,RIGHT,415,49,53,8,5,0,94,8
Roberto Soldado Rillo,35,1985,SPAIN,SPAIN,146758,2002,ST,SPAIN PRIMERA DIVISION,GRANADA CF,"5'11""",163,RIGHT,419,161,54,21,5,0,120,7
Clint Dempsey,37,1983,USA,USA,155897,2002,CAM CF ST,USA MAJOR LEAGUE SOCCER,SEATTLE SOUNDERS FC,"6'1""",170,RIGHT,404,129,52,9,3,0,48,3
Riccardo Montolivo,35,1985,ITALY,ITALY,159287,2003,CDM CM,ITALIAN SERIE A,MILAN,"5'11""",168,RIGHT,421,32,28,1,0,0,81,4
Gary Cahill,35,1985,UNITED KINGDOM,UNITED KINGDOM,164468,2004,CB,ENGLISH PREMIER LEAGUE,CRYSTAL PALACE,"6'4""",194,RIGHT,422,30,11,0,0,0,45,3
Laurent Koscielny,35,1985,FRANCE,FRANCE,165229,2004,CB,FRENCH LIGUE,FC GIRONDINS DE BOR,"6'1""",165,RIGHT,325,25,3,0,0,0,40,5
Eliaquim Mangala,29,1991,BELGIUM,FRANCE,190531,2008,CB,SPAIN PRIMERA DIVISION,VALENCIA CF,"6'2""",185,LEFT,230,10,4,0,0,0,56,5
Romelu Lukaku,27,1993,BELGIUM,BELGIUM,192505,2008,ST,ITALIAN SERIE A,INTER,"6'3""",207,LEFT,373,180,53,16,4,0,28,1
Rodrigo Moreno Machado,29,1991,BRAZIL,BRAZIL,198329,2009,ST CAM,ENGLISH PREMIER LEAGUE,LEEDS UNITED,"6'0""",170,LEFT,272,69,38,2,3,0,25,5
Marco Verratti,28,1992,ITALY,ITALY,199556,2008,CM CDM,FRENCH LIGUE,PARIS SAINT GERMAIN,"5'5""",132,RIGHT,271,6,43,0,0,0,80,6
Raheem Sterling,26,1994,UNITED KINGDOM,JAMAICA,202652,2009,LW RW,ENGLISH PREMIER LEAGUE,MANCHESTER CITY,"5'7""",152,RIGHT,273,90,48,1,2,0,30,2
Axel Witsel,31,1989,BELGIUM,BELGIUM,177413,2004,CDM CM,GERMAN BUNDESLIGA,BORUSSIA DORTMUND,"6'1""",179,RIGHT,410,61,32,12,3,0,57,4
Kevin Trapp,30,1990,GERMANY,GERMANY,188943,2007,GK,GERMAN BUNDESLIGA,EINTRACHT FRANKFURT,"6'2""",194,RIGHT,246,0,0,0,0,315,0,0
Maxime Gonalons,31,1989,FRANCE,FRANCE,193116,2007,CDM CM,SPAIN PRIMERA DIVISION,GRANADA CF,"6'2""",168,RIGHT,299,7,9,1,1,0,65,5
Ricardo Rodriguez,28,1992,SPAIN,SWITZERLAND,193352,2009,LB,ITALIAN SERIE A,TORINO,"5'11""",170,LEFT,275,18,29,11,2,0,22,2
Sidney Sam,32,1988,GERMANY,GERMANY,177934,2006,RM LM,TURKISH SUPER LIG,ANTALYASPOR,"5'9""",150,LEFT,254,50,36,6,3,0,27,2
Alessio Cerci,33,1987,ITALY,ITALY,178393,2003,RW ST,ITALIAN SERIE A,US SALERNITANA 1919,"5'11""",172,LEFT,281,52,44,11,2,0,28,2
Kevin Mirallas,33,1987,BELGIUM,BELGIUM,172175,2004,LM CAM,TURKISH SUPER LIG,GAZISEHIR GAZIANTEP,"6'0""",159,RIGHT,399,86,41,3,2,0,48,5
Francesco Totti,44,1976,ITALY,ITALY,1238,1993,CF ST,ITALIAN SERIE A,ROMA,"5'11""",181,RIGHT,619,250,139,71,14,0,115,11
Gareth Barry,39,1981,UNITED KINGDOM,UNITED KINGDOM,6826,1997,CDM CM,ENGLISH PREMIER LEAGUE,WEST BROMWICH ALBI,"6'0""",172,LEFT,678,54,68,18,4,0,134,6
Antonio Cassano,38,1982,ITALY,ITALY,7631,1998,CF,ITALIAN SERIE A,SAMPDORIA,"5'9""",176,RIGHT,417,115,92,11,3,0,48,3
Patrice Evra,39,1981,FRANCE,SENEGAL,52091,1998,LB,ENGLISH PREMIER LEAGUE,WEST HAM UNITED,"5'9""",165,LEFT,465,12,32,0,0,0,71,4
