Name,Age,Date of Birth,Nationality,College,Team,Position,Debut,Height in cm,Weight in kg,Games,Appearances,At bats,Runs,Hits,Doubles,Triples,Home Runs,Runs Batted,Steals,Walks,Strikeouts,Stolen Bases,Caught Stealing,Total Bases
Jorge Polanco,27,1993,DOMINICAN REPUBLIC,NOT FOUND,MINNESOTA TWINS,SHORTSTOP,2014,180,94,513,2170,1957,262,540,115,18,49,253,NOT FOUND,3,355,35,21,843
Anthony Santander,26,1994,VENEZUELA,NOT FOUND,BALTIMORE ORIOLES,RIGHTFIELDER,2017,188,106,192,771,720,84,178,43,3,34,107,NOT FOUND,3,157,2,3,328
Brian Anderson,27,1993,USA,ARKANSAS,MIAMI MARLINS,THIRD BASEMAN,2017,190,94,382,1579,1393,185,365,84,7,43,182,NOT FOUND,4,352,7,5,593
Elvis Andrus,32,1988,VENEZUELA,NOT FOUND,OAKLAND ATHLETICS,SHORTSTOP,2009,183,95,1671,7149,6429,898,1753,306,48,76,640,NOT FOUND,6,980,308,105,2386
Alec Bohm,24,1996,USA,WICHITA STATE,PHILADELPHIA PHILLIES,THIRD BASEMAN,2020,196,98,62,253,224,31,70,13,0,6,35,NOT FOUND,0,60,3,1,105
Yandy Diaz,29,1991,CUBA,NOT FOUND,TAMPA BAY RAYS,THIRD BASEMAN,2017,188,97,218,854,742,116,207,39,4,17,83,NOT FOUND,3,146,4,2,309
Wil Myers,30,1990,USA,NOT FOUND,SAN DIEGO PADRES,OUTFIELDER,2013,190,93,860,3435,3059,448,778,173,12,133,429,NOT FOUND,14,915,99,27,1376
David Peralta,33,1987,VENEZUELA,NOT FOUND,ARIZONA DIAMONDBACKS,LEFTFIELDER,2014,185,95,742,2955,2699,359,784,144,39,93,382,NOT FOUND,13,572,30,11,1295
Gleyber Torres,24,1996,VENEZUELA,NOT FOUND,NEW YORK YANKEES,SECOND BASEMAN,2018,185,92,326,1321,1177,172,316,52,1,65,185,NOT FOUND,6,297,13,5,575
Mike Yastrzemski,30,1990,USA,VANDERBILT,SAN FRANCISCO GIANTS,OUTFIELDER,2019,178,80,180,714,633,112,173,42,8,35,96,NOT FOUND,5,191,5,5,338
Phillip Evans,28,1992,USA,NOT FOUND,PITTSBURGH PIRATES,THIRD BASEMAN,2017,178,95,62,176,155,22,44,6,0,5,17,NOT FOUND,0,43,2,1,67
Freddy Galvis,31,1989,VENEZUELA,NOT FOUND,BALTIMORE ORIOLES,SHORTSTOP,2012,178,86,1016,3910,3624,393,896,161,27,97,392,NOT FOUND,14,795,57,21,1406
Didi Gregorius,31,1990,NETHERLANDS,NOT FOUND,PHILADELPHIA PHILLIES,SHORTSTOP,2012,190,92,926,3678,3365,454,893,156,21,122,469,NOT FOUND,19,525,34,16,1461
Randal Grichuk,29,1991,USA,NOT FOUND,TORONTO BLUE JAYS,OUTFIELDER,2014,188,97,752,2775,2579,361,640,157,20,138,374,NOT FOUND,6,767,21,14,1254
Salvador Perez,30,1990,VENEZUELA,NOT FOUND,KANSAS CITY ROYALS,CATCHER,2011,190,115,996,3966,3755,414,1012,193,10,157,547,NOT FOUND,17,661,5,1,1703
Eddie Rosario,29,1991,PUERTO RICO,NOT FOUND,CLEVELAND INDIANS,LEFTFIELDER,2015,185,81,714,2898,2723,408,752,136,23,121,401,NOT FOUND,15,558,44,20,1303
Carlos Santana,35,1986,DOMINICAN REPUBLIC,NOT FOUND,KANSAS CITY ROYALS,FIRST BASEMAN,2010,180,97,1512,6474,5393,808,1340,305,16,244,814,NOT FOUND,58,1071,47,18,2417
Chris Taylor,34,1990,ENGLAND,VIRGINIA,LOS ANGELES DODGERS,OUTFIELDER,2014,185,88,611,2185,1946,297,510,124,23,63,248,NOT FOUND,5,597,47,16,880
Asdrubal Cabrera,35,1985,VENEZUELA,NOT FOUND,ARIZONA DIAMONDBACKS,SHORTSTOP,2007,183,106,1729,7119,6381,863,1705,384,28,190,837,NOT FOUND,26,1264,90,32,2720
David Dahl,27,1994,USA,NOT FOUND,TEXAS RANGERS,OUTFIELDER,2016,188,89,280,1088,1002,157,282,56,14,40,149,NOT FOUND,4,288,15,8,487
Paul DeJong,27,1993,USA,LLLINOIS STATE,ST LOUIS CARDINALS,SHORTSTOP,2017,183,92,444,1842,1648,250,410,88,3,82,246,NOT FOUND,4,472,12,6,752
Tim Locastro,28,1992,USA,ITHACA NY,ARIZONA DIAMONDBACKS,OUTFIELDER,2017,185,86,160,405,345,66,89,17,3,4,26,NOT FOUND,0,75,29,1,124
Kevin Newman,27,1993,CANADA,ARIZONA,PITTSBURGH PIRATES,SHORTSTOP,2018,183,83,222,865,802,83,217,29,6,14,85,NOT FOUND,3,112,16,10,304
Anthony Rizzo,31,1989,USA,NOT FOUND,CHICAGO CUBS,FIRST BASEMAN,2011,190,108,1283,5490,4678,701,1265,272,19,233,761,NOT FOUND,66,873,63,34,2279
Jean Segura,31,1990,DOMINICAN REPUBLIC,NOT FOUND,PHILADELPHIA PHILLIES,SHORTSTOP,2012,178,99,1116,4721,4387,598,1252,200,42,84,406,NOT FOUND,21,651,184,62,1788
Avisail Garcia,29,1991,VENEZUELA,NOT FOUND,MILWAUKEE BREWERS,RIGHTFIELDER,2012,193,113,832,3305,3036,396,819,125,16,101,399,NOT FOUND,17,780,39,30,1280
Bryce Harper ,28,1992,USA,CC OF SOUTHERN NEVADA,PHILADELPHIA PHILLIES,RIGHTFIELDER,2012,190,95,1159,4954,4125,763,1142,232,21,238,678,NOT FOUND,91,1074,100,36,2136
Ramon Laureano,26,1994,DOMINICAN REPUBLIC,NORTHEASTERN OKLAHOMA A&M,OAKLAND ATHLETICS,CENTERFIELDER,2018,180,92,241,949,836,145,223,51,4,38,119,NOT FOUND,0,255,30,6,404
Andrew McCutchen,34,1986,USA,NOT FOUND,PHILADELPHIA PHILLIES,CENTERFIELDER,2009,180,88,1633,7081,6093,979,1728,343,49,244,859,NOT FOUND,64,1306,193,77,2906
Yermin Mercedes,28,1993,DOMINICAN REPUBLIC,NOT FOUND,CHICAGO WHITE SOX,CATCHER,2020,180,111,162,610,572,8,27,5,0,4,15,NOT FOUND,1,11,0,1,53
Wilson Ramos,33,1987,VENEZUELA,NOT FOUND,DETROIT TIGERS,CATCHER,2010,185,111,963,3690,3402,355,930,149,2,134,522,NOT FOUND,26,620,1,3,1489
Miguel Rojas,32,1989,VENEZUELA,NOT FOUND,MIAMI MARLINS,SHORTSTOP,2014,183,85,700,2106,1913,219,510,95,6,24,192,NOT FOUND,15,264,27,13,691
Myles Straw,26,1994,USA,ST JOHNS RIVER JC FL,HOUSTON ASTROS,CENTERFIELDER,2018,178,80,115,289,258,45,62,10,3,1,24,NOT FOUND,0,62,21,4,86
Raimel Tapia,27,1994,DOMINICAN REPUBLIC,NOT FOUND,COLORADO ROCKIES,LEFTFIELDER,2016,190,79,323,958,892,122,256,47,10,16,96,NOT FOUND,1,202,26,9,375
Mike Trout,29,1991,USA,NOT FOUND,LOS ANGELES ANGELS,CENTERFIELDER,2011,188,106,1269,5585,4595,959,1402,265,48,308,812,NOT FOUND,107,1196,201,37,2696
Jesus Aguilar,30,1990,VENEZUELA,NOT FOUND,MIAMI MARLINS,FIRST BASEMAN,2014,190,125,516,1594,1387,198,362,67,2,74,266,NOT FOUND,4,392,0,1,667
Javier Baez,28,1992,PUERTO RICO,NOT FOUND,CHICAGO CUBS,SHORTSTOP,2014,183,86,742,2781,2606,383,688,144,17,124,395,NOT FOUND,30,804,68,25,1242
Andrew Benintendi,26,1994,USA,ARKANSAS,KANSAS CITY ROYALS,LEFTFIELDER,2016,175,81,501,2171,1898,289,516,122,13,52,266,NOT FOUND,9,420,57,15,825
Dylan Carlson,22,1998,USA,NOT FOUND,ST LOUIS CARDINALS,OUTFIELDER,2020,188,92,53,188,167,24,37,11,3,6,29,NOT FOUND,1,57,1,1,82
J. P. Crawford,26,1995,USA,NOT FOUND,SEATTLE MARINERS,SHORTSTOP,2017,188,90,237,919,795,112,185,40,10,12,93,NOT FOUND,0,197,15,7,287
Aaron Judge,28,1992,USA,FRESNO STATE,NEW YORK YANKEES,RIGHTFIELDER,2016,201,127,440,1901,1576,320,428,71,4,123,278,NOT FOUND,18,598,18,11,885
Miguel Sano,27,1993,DOMINICAN REPUBLIC,NOT FOUND,MINNESOTA TWINS,THIRD BASEMAN,2015,193,123,554,2314,2017,323,480,99,6,133,344,NOT FOUND,8,854,2,2,990
Juan Soto,22,1998,DOMINICAN REPUBLIC,NOT FOUND,WASHINGTON NATIONALS,LEFTFIELDER,2018,188,101,327,1410,1160,237,343,73,6,71,225,NOT FOUND,27,266,24,7,641
Trea Turner,27,1993,USA,NORTH CAROLINA STATE,WASHINGTON NATIONALS,SHORTSTOP,2015,188,83,557,2450,2240,385,663,121,29,79,267,NOT FOUND,5,453,176,34,1093
Luis Arraez,24,1997,VENEZUELA,NOT FOUND,MINNESOTA TWINS,SECOND BASEMAN,2019,178,79,140,553,493,79,163,31,1,5,50,NOT FOUND,1,51,2,2,214
Jackie Bradley Jr.,31,1990,USA,SOUTH CAROLINA,MILWAUKEE BREWERS,CENTERFIELDER,2013,178,88,890,3350,2965,443,707,164,25,99,378,NOT FOUND,17,855,61,15,1221
Kris Bryant,29,1992,USA,SAN DIEGO,CHICAGO CUBS,THIRD BASEMAN,2015,196,104,757,3323,2834,521,798,179,17,147,430,NOT FOUND,17,793,34,19,1462
Ian Happ,26,1994,USA,CINCINNATI,CHICAGO CUBS,OUTFIELDER,2017,183,92,390,1335,1147,176,279,54,7,63,171,NOT FOUND,15,428,19,12,537
Aaron Hicks,31,1989,USA,NOT FOUND,NEW YORK YANKEES,CENTERFIELDER,2013,185,92,724,2762,2373,358,554,100,12,91,304,NOT FOUND,5,584,55,23,952
Yadier Molina,38,1982,PUERTO RICO,NOT FOUND,ST LOUIS CARDINALS,CATCHER,2004,180,102,2042,7876,7174,726,2022,386,7,165,946,NOT FOUND,49,818,66,37,2917
Dylan Moore,28,1992,USA,CENTRAL FLORIDA,SEATTLE MARINERS,OUTFIELDER,2019,183,83,170,504,438,63,92,27,2,18,51,NOT FOUND,0,161,27,15,178
Franmil Reyes,25,1995,DOMINICAN REPUBLIC,NOT FOUND,CLEVELAND INDIANS,RIGHTFIELDER,2018,196,120,312,1138,1025,141,271,42,2,67,163,NOT FOUND,1,334,1,0,531
Giancarlo Stanton,31,1989,USA,NOT FOUND,NOT FOUND,RIGHTFIELDER,2010,198,111,1200,5054,4386,705,1171,247,11,317,811,NOT FOUND,81,1428,42,15,2406
Gio Urshela,29,1991,COLOMBIA,NOT FOUND,NEW YORK YANKEES,THIRD BASEMAN,2015,183,97,358,1210,1117,149,305,65,1,38,155,NOT FOUND,1,222,3,2,495
Jonathan India,24,1996,USA,FLORIDA,CINCINNATI REDS,SECOND BASEMAN,2021,183,90,17,66,55,9,15,1,2,1,14,NOT FOUND,1,20,0,0,24
Max Kepler,28,1993,GERMANY,NOT FOUND,MINNESOTA TWINS,RIGHTFIELDER,2015,193,102,615,2479,2188,329,519,127,9,101,311,NOT FOUND,8,453,23,13,967
Shohei Ohtani,26,1994,JAPAN,NOT FOUND,LOS ANGELES ANGELS,DESIGNATED HITTER,2018,193,95,270,1034,926,145,252,51,9,54,165,NOT FOUND,0,89,32,9,490
